qid,query,pid_i,passage_i,score_i,pid_j,passage_j,score_j,g_score,correct_pref
1001108,where the chromosomes are moving towards the poles of the cell,7870036,"Now, during anaphase, the two sister chromatids of each chromosome are pulled apart by the spindle and dragged by their kinetochores toward opposite poles of the cell (i.e., toward the opposite centrosomes). The movement results from a shortening of the spindle microtubules. Each chromosome is pulled along by its centromere. Formally, this phase begins when the duplicated centromeres of each pair of sister chromatids separates, and the resulting daughter chromosomes begin moving toward the poles.",0.9673045072164436,7042329,Telophase is the final cycle of cell division for eukaryotic cells in both in mitosis and meiosis. A eukaryote is any cell which contains a nucleus and other organelles within a cell membrane. There are three main stages of telophase: The chromosomes move to opposite ends of the poles and begin to unwind.,0.605585573608286,0.3617189336081576,1
1009183,what's the difference between c++ and java,7249212,"The most important difference is that Java is a memory-safe language, whereas C++ is not. This means that errors in Java programs are detected in defined ways—for example, attempting a bad cast or indexing an array out of bounds results in an exception.",0.9999062597744992,2911375,"The Java Persistence API (JPA) is a Java programming language application programming interface specification that describes the management of relational data in applications using Java Platform, Standard Edition and Java Platform, Enterprise Edition.",0.2917891084658985,0.7081171513086005,1
1009742,what's a pollinator,7248275,"A pollinator is different from a pollenizer, a plant that is a source of pollen for the pollination process.",0.8498142470151397,5018280,"Definition. Cross pollination is the transfer of pollen grains from the anther of a flower to the stigma of a flower of a different plant of the same species. Self pollination is the transfer of pollen grains from the anther to the stigma of the same flower. Seen in.Insects: Apples, grapes, plums, pears, raspberries, blackberries, strawberries, runner beans, pumpkins, daffodils, tulips, lavender Wind: grasses, catkins, dandelions, maple trees, and goat’s beard.iffen › Science › Biology › Botany. In the process of cross pollination, the pollen is transferred from one plant to another by a pollinator, such as an insect, or by the wind. In self pollination, the plant’s stamen sheds pollen directly onto its own stigma.",0.2055490356357337,0.644265211379406,1
1010700,which hotel did jfk propose to jackie,7908507,"Decades later, Ho Chi Minh worked as a baker in the basement kitchen, likely churning out the hotel's deservedly famous, eponymous Parker House rolls. JFK proposed to Jackie at a table at Parker's Restaurant, where Malcolm X once worked as a busboy.",0.999991725938417,3541134,"In the 1968 movie Eat Your Makeup directed by John Waters, Divine plays Jackie Kennedy in a re-enactment of the JFK assassination. Waters later said on The Graham Norton Show, that the scenes were filmed on his parents' home street to the neighbors' disgust, as it was shortly after the real assassination had occurred.",0.3960425798026566,0.6039491461357605,1
1012865,what was enoch brown school massacre?,7242969,"Enoch Brown school massacre topic. 1885 memorial The Enoch Brown school massacre was one of the most notorious incidents of Pontiac's War . On July 26, 1764, four Delaware (Lenape) American Indians entered a settlers' log schoolhouse in the Province of Pennsylvania in what is now Franklin County , near the present-day city of Greencastle .",0.99999783277751,5615198,"The book, The Keys of Enoch has described it as the mid-way station or programming center used by the physical brotherhoods in our local universe, to govern the many rounds of experiments with physicals on our end of the galaxy. Their total focus in every aspect of their society to the path of God realization.",0.6805947389150229,0.3194030938624872,1
1020244,what skills i need for marine biology,7233356,"Marine biologist must also be familiar with various research boats and ships, and may need scuba diving skills and underwater camera and video skills. Marine biologists also frequently require robotic skills, such as for using Remotely Operated Vehicles, or ROVs, which are used in place of manned submersibles.",0.9983922798635836,5214901,Since 2012 Dirk is Director for Education and Outreach at the Biodiversity Institute of Ontario. Prior to that he was responsible for the institutes activities in Marine Biology. Find out more about his work on his blog. Dirk joined Wellington Hall Academy in 2009 and is teaching science for middle and senior school.,0.2897692440159127,0.7086230358476711,1
1022762,which vitamins are important,6046885,"There are a few types of these nutrients, and they're all good for your body. But three of them -- vitamins B6, B12, and folic acid -- are especially important. Vitamin B6 is also known as pyridoxine. You need it to keep your brain working well and to help your body change food into energy, which is called metabolism.",0.8367196237473132,2605564,"Summary. 1  Fat-soluble vitamins: A, D, E, and K — are stored in the body for long periods of time, and pose a greater risk for toxicity than water-soluble vitamins. 2  Beta carotene is an important antioxidant that the body converts to Vitamin A, and it is found in a variety of fruits and vegetables.",0.4444130747579038,0.3923065489894094,1
1022769,what percentage of americans are either overweight or obese? quizlet,7229482,"Today, about 75 percent of US men and 67 percent of US women are either overweight or obese. This has risen significantly from figures gathered between 1988 and 1994, when just 63 percent of men and 55 percent of US women were overweight or obese. 2. Fewer Than One-Third of Americans Are at a Healthy Weight The NHANES data revealed that about 35 percent of men and 37 percent of women are obese, while another 40 percent of men and 30 percent of women are overweight. This means less than one-third of US adults are at a healthy weight. Lin Yang, a postdoctoral research associate at Washington University School of Medicine in St. Louis, told Medicine Net: 3 Obesity is not getting better. It's getting worse, and it's really scary. It's not looking pretty…",0.9676214512547556,378002,"If you can’t find the ribcage, you have an overweight dog. Ask your veterinarian to evaluate your pooch’s size at every check-up. Once your canine reaches maturity, ask for his optimal weight. As a rule of thumb, 15% above that weight is obese; zero to 15% is overweight. If your dog falls into either category, he is not alone. According to a 2011 study, 53% of dogs are overweight or obese.",0.130265280552447,0.8373561707023086,1
1024904,what medications are prescribed for vasculitis,7226370,"Vasculitis cannot be cured, but treatment can help to reduce symptoms and minimize the develoment of serious complications, such as meningitis, blindness and aneurysm of the lungs. Treatment may include the use of medications, such as interferon alfa, to control the immune response and inflammation.",0.9999260224622446,1075637,"Urticarial Vasculitis DevineDesign 2013-02-18T18:47:31+00:00. Urticarial vasculitis is a form of vasculitis that affects the skin, causing wheals or hives and/or red patches due to swelling of the small blood vessels.",0.4855868662149954,0.5143391562472491,1
102627,cost of attending kennesaw state university,7875009,"The overall cost for on-campus, in-state students to attend Kennesaw State University in 2014-2015 was $24,630. To calculate future costs, we looked at the prior five years of data and determined that this cost increased an average of 5.6% each year.",0.9938914337673074,5507994,"The total list price for in-state Georgia residents to go to University of Georgia is $20,882 for the 2014/2015 academic year. Out-of-state students who don't possess Georgia residence can expect a one year cost of $39,092.he total list price for in-state Georgia residents to go to University of Georgia is $20,882 for the 2014/2015 academic year. Out-of-state students who don't possess Georgia residence can expect a one year cost of $39,092.",0.3185258518939198,0.6753655818733876,1
1029772,what is the zip code in arrowhead lakes,7218572,"An extended ZIP+4 code, introduced in the 1980s, includes the five digits of the Lake Arrowhead ZIP code, a hyphen, and four more digits that determine a more specific location within a given ZIP code in Lake Arrowhead, California. The Lake Arrowhead Zip Code is 92352. If you want to send a mail to Lake Arrowhead City, you should use the 92352 Zip Code. In 1983, the U.S. Postal Service introduced an expanded Lake Arrowhead ZIP code system that it called ZIP+4, often called plus-four codes, add-on codes, or add ons.",0.9995684303015588,1466346,"Cities in ZIP code 80021. The cities below are at least partially located in ZIP code 80021. In addition to the primary city for a ZIP code, USPS also publishes a list of other acceptable cities that can be used with ZIP code 80021.",0.6468902994775302,0.3526781308240285,1
1034587,cures that work for mites on dogs homemade,7210738,"Bathing a dog that has skin mites in soapy water is an effective home remedy. The alkaline nature of the soap kills skin mites and can prevent them from spreading. Yellow dock, aloe vera or calendula tea can also be used to treat skin mites. Using teas that have these herbs kills skin mites on dogs and helps heal rashes.",0.9922062915048118,6658774,"Dogs and Ear Infections. Ear infections are a common canine health problem, and they can be caused by allergies, yeast, ear mites, bacteria, hair growth deep in the ear canal, and more. Symptoms your dog may have with an ear infection include:1  Head shaking or head tilting. 2  Ear odor.ogs and Ear Infections. Ear infections are a common canine health problem, and they can be caused by allergies, yeast, ear mites, bacteria, hair growth deep in the ear canal, and more. Symptoms your dog may have with an ear infection include:",0.2115342807376979,0.7806720107671138,1
1037250,what is the lunar regolith quizlet,7206078,"Lunar Regolith Breccias and Fragmental Breccias. Regolith is the name for the layer of unconsolidated material at the surface of a planet - the loose stuff that overlies the solid rock. On Earth, soil is part of the regolith, so lunar regolith is consequently often called soil.. The lunar regolith.",0.995392690065308,104425,"Lunar Eclipses (the darkening of a full moon by the shadow of the Earth) occur every 6 months, and total lunar eclipses normally come in sets of three, followed by three partial eclipses. The lunar eclipse of June 26, 2010 is a partial eclipse visible mainly in Australia.",0.3853250645111162,0.6100676255541917,1
1041951,what is the cytokine,7198934,"Cytokine function / Function of cytokine Cytokines are a large group of proteins, peptides or glycoproteins that are secreted by specific cells of immune system. Cytokines are a category of signaling molecules that mediate and regulate immunity, inflammation and hematopoiesis. Cytokines are produced throughout the body by cells of diverse embryological origin. Cytokine is a general name; other names are defined based on their presumed function, cell of secretion, or target of action.",0.8312882923073691,1777778,"Cytokine and Allergy Allergic diseases have been closely related to Th2 immune responses, which are characterized by high levels of interleukin IL-4, IL-5, IL-9 and IL-13. These cytokines orchestrate the recruitment and activation of different effector cells, such as eosinophils and mast cells. just had a cytokine test done on my levels of cytokines, and 6 out of 8 were undetectable: IL 2,4,5,10,12,Tnf a. But IL 6 and Gamma interferon were in the normal ranges. I have long term severe CFS. Things I used to be able to take, now make me much more tired, bedridden, with a flu like mal...aise.",0.4662624336189059,0.3650258586884631,1
1042978,what is the clearinghouse,7197542,"Definition of clearinghouse. 1  1 : an establishment maintained by banks for settling mutual claims and accounts. 2  2 : a central agency for the collection, classification, and distribution especially of information; broadly : an informal channel for distributing information or assistance.",0.9997881287540544,4385933,"Credit bureau. A credit reporting agency that is a clearinghouse for information on the credit rating of individuals or firms. Is often called a “credit repository” or a “consumer reporting agency”. The three largest credit bureaus in the U.S. are Equifax, Experian and TransUnion. Credit bureau risk score.",0.3560731915744389,0.6437149371796154,1
