qid,query,pid_i,passage_i,score_i,pid_j,passage_j,score_j,g_score,correct_pref
1024904,what medications are prescribed for vasculitis,7226370,"Vasculitis cannot be cured, but treatment can help to reduce symptoms and minimize the develoment of serious complications, such as meningitis, blindness and aneurysm of the lungs. Treatment may include the use of medications, such as interferon alfa, to control the immune response and inflammation.",7.399909973144531,3154741,"Aim of this leaflet. This leaflet is for anyone who wants to find out about the medications used to help stabilise unhelpful mood swings and to control mania in bipolar disorder. It discusses how they work, why they are prescribed, their effects, side-effects and some alternatives.",-9.466781616210938,16.86669158935547,1
102627,cost of attending kennesaw state university,7875009,"The overall cost for on-campus, in-state students to attend Kennesaw State University in 2014-2015 was $24,630. To calculate future costs, we looked at the prior five years of data and determined that this cost increased an average of 5.6% each year.",10.719772338867188,7554353,"How much is tuition at American InterContinental University-Houston? Tuition and fees at American InterContinental University-Houston are $14,634 USD without financial aid. With room, board, and other fees combined, total cost of attendance is $15,992 USD. Cost & Aid. Relatively expensive tuition ($14,634 USD, same for in-state and out-of-state students)",-3.7374634742736816,14.45723581314087,1
1029772,what is the zip code in arrowhead lakes,7218572,"An extended ZIP+4 code, introduced in the 1980s, includes the five digits of the Lake Arrowhead ZIP code, a hyphen, and four more digits that determine a more specific location within a given ZIP code in Lake Arrowhead, California. The Lake Arrowhead Zip Code is 92352. If you want to send a mail to Lake Arrowhead City, you should use the 92352 Zip Code. In 1983, the U.S. Postal Service introduced an expanded Lake Arrowhead ZIP code system that it called ZIP+4, often called plus-four codes, add-on codes, or add ons.",10.057658195495604,7221946,"Elma Zip Code - Iowa. The US ZIP Code basic format consists of five decimal numerical digits assigned to the Elma City. An extended ZIP+4 code, introduced in the 1980s, includes the five digits of the Elma ZIP code, a hyphen, and four more digits that determine a more specific location within a given ZIP code in Elma, Iowa. The Elma Zip Code is 50628.",-6.289080619812012,16.346738815307617,1
1037250,what is the lunar regolith quizlet,7206078,"Lunar Regolith Breccias and Fragmental Breccias. Regolith is the name for the layer of unconsolidated material at the surface of a planet - the loose stuff that overlies the solid rock. On Earth, soil is part of the regolith, so lunar regolith is consequently often called soil.. The lunar regolith.",6.2728095054626465,7148279,"Chinese Lunar Calendar. 1  Chinese Lunar Calendar is based on the cycles of the moon, and is constructed in a different fashion than the Western solar calendar. 2  This Chinese New Year symbol often shows the dates of both the Gregorian (Western) calendar and the Chinese Lunar Calendar.",-8.703899383544922,14.976708889007568,1
1043064,what is the chemical formula for oxygen tetrafluoride?,7197436,"Quick Answer. N2F4 is the chemical formula for the chemical compound tetrafluorohydrazine or dinitrogen tetrafluoride. It is a colorless inorganic gas that is extremely hazardous. It is produced from nitrogen trifluoride, an inorganic gas that is toxic, colorless and nonflammable, using iron or iron(II) fluoride.",6.012024879455566,3946686,"Definitions for chemical formula. formula, chemical formula(noun) a representation of a substance using symbols for its constituent elements. chemical formula(Noun) Alternative name for molecular formula.",-7.65684175491333,13.668866634368896,1
1057270,who were marilyn monroe's friends,7847045,"The first part, that she dated 'most of the Rat pack', is untrue. She briefly dated Frank Sinatra, and in the late 1940s allegedly went on a single date with Peter Lawford. As for Dean Martin, he and Marilyn were good friends....and Marilyn was good friends with his wife Jeanne, who he married in 1949.",6.715399265289307,4618128,"The first copy of Playboy magazine featuring Marilyn Monroe as centerfold is set to go under the hammer. A world away from its modern, glossy successor, this copy boasts it is the first 'full color' magazine but only features black, white, grey and a touch of red.",-4.994102478027344,11.70950174331665,1
1060391,what is barbra streisand net worth,7168612,"Barbra Streisand Net Worth is $340 Million. Barbra Streisand Net Worth is $340 Million. Singer, songwriter, actress and filmmaker Barbra Streisand was born and raised in Brooklyn, New York and has an estimated net worth of $340 million. Her career began in her teens when she sang at nightclubs. Barbra Joan Streisand (/'str...",11.17021369934082,5987972,"The Way They Were? Barbra Streisand Had a Massive Crush on Robert Redford While Filming Classic Movie, New Biography Says. Barbra Streisand and Robert Redford famously played love interests in the 1973 classic The Way We Were. But if it were up to the actress, their romance would have continued offscreen – or so a new biography claims.",-4.283112525939941,15.453326225280762,1
1064529,what is adipocere,7163878,"adipocere ad·i·po·cere (ād'ə-pō-sēr') n. A brown, fatty, waxlike substance that forms on dead animal tissue in response to moisture. Also called lipocere.",10.788284301757812,941976,"Try 5 issues for just £5 with our new subscription offer! It depends on the temperature of the water. In cold water, the bacterial action that causes a body to bloat with gas may be so slowed that the body stays on the seabed. The skin will absorb water and peel away from the underlying tissues in about a week and fish, crabs and sea lice will nibble away at the flesh. Cold water also encourages the formation of adipocere. This is a waxy, soapy substance formed from the fat in the body that partially protects the body against decomposition. Bodies have been retrieved almost completely intact from waters below 7°C after several weeks, and as recognisable skeletons after five years.",0.0872251987457275,10.701059103012083,1
1072479,what is a gui|,7156499,"The graphical user interface (GUI /ɡuːiː/), is a type of user interface that allows users to interact with electronic devices through graphical icons and visual indicators such as secondary notation, instead of text-based user interfaces, typed command labels or text navigation.",7.846251964569092,7980160,"1. Figure out what program you want to use. One program is RPG Maker VX. This program isn't free but you may wish to use the 2003 version-it's free. Some simple video games may also use coding, instead of point-and-click systems. A good basic coding is Python GUI which is free and open-source from their website.Ad.his program isn't free but you may wish to use the 2003 version-it's free. Some simple video games may also use coding, instead of point-and-click systems. A good basic coding is Python GUI which is free and open-source from their website. Ad.",-5.6504364013671875,13.49668836593628,1
1087904,what age do moles appear,7097707,"Most people do not develop new regular moles after the age of 30. Adults often develop non-mole growths like freckles, lentigines, “liver spots”, and seborrheic keratosis in later adulthood. New moles appearing after age 30 may require close observation, medical evaluation, and possible biopsy. A brand new mole in an adult may be a sign of an evolving abnormal mole or early melanoma. It is important to have any new or changing mole evaluated by your dermatologist.",9.698376655578612,3734181,"NaCl means there is 1.2 moles of NaCl per 1.00 liter of solution. We can use that as a conversion factor to set up the calculation that relates 400. ml (or .400 L) to the appropriate number of moles of NaCl. So we take .400 L and multiply by the conversion factor to get .480 moles NaCl.o get molarity we still need to divide moles of solute by volume of solution. But this time we're not given the moles of solute. We have to calculate it from the mass of NaCl. We multiply 2.5 g NaCl by the conversion factor of 1 mole NaCl over the formula weight of NaCl, 58.5 g.",-10.211870193481444,19.91024684906006,1
