qid,query,pid_i,passage_i,score_i,pid_j,passage_j,score_j,g_score,correct_pref
1024904,what medications are prescribed for vasculitis,7226370,"Vasculitis cannot be cured, but treatment can help to reduce symptoms and minimize the develoment of serious complications, such as meningitis, blindness and aneurysm of the lungs. Treatment may include the use of medications, such as interferon alfa, to control the immune response and inflammation.",0.9999260224622446,1075637,"Urticarial Vasculitis DevineDesign 2013-02-18T18:47:31+00:00. Urticarial vasculitis is a form of vasculitis that affects the skin, causing wheals or hives and/or red patches due to swelling of the small blood vessels.",0.4855868662149954,0.5143391562472491,1
102627,cost of attending kennesaw state university,7875009,"The overall cost for on-campus, in-state students to attend Kennesaw State University in 2014-2015 was $24,630. To calculate future costs, we looked at the prior five years of data and determined that this cost increased an average of 5.6% each year.",0.9938914337673074,5507994,"The total list price for in-state Georgia residents to go to University of Georgia is $20,882 for the 2014/2015 academic year. Out-of-state students who don't possess Georgia residence can expect a one year cost of $39,092.he total list price for in-state Georgia residents to go to University of Georgia is $20,882 for the 2014/2015 academic year. Out-of-state students who don't possess Georgia residence can expect a one year cost of $39,092.",0.3185258518939198,0.6753655818733876,1
1029772,what is the zip code in arrowhead lakes,7218572,"An extended ZIP+4 code, introduced in the 1980s, includes the five digits of the Lake Arrowhead ZIP code, a hyphen, and four more digits that determine a more specific location within a given ZIP code in Lake Arrowhead, California. The Lake Arrowhead Zip Code is 92352. If you want to send a mail to Lake Arrowhead City, you should use the 92352 Zip Code. In 1983, the U.S. Postal Service introduced an expanded Lake Arrowhead ZIP code system that it called ZIP+4, often called plus-four codes, add-on codes, or add ons.",0.9995684303015588,1466346,"Cities in ZIP code 80021. The cities below are at least partially located in ZIP code 80021. In addition to the primary city for a ZIP code, USPS also publishes a list of other acceptable cities that can be used with ZIP code 80021.",0.6468902994775302,0.3526781308240285,1
1037250,what is the lunar regolith quizlet,7206078,"Lunar Regolith Breccias and Fragmental Breccias. Regolith is the name for the layer of unconsolidated material at the surface of a planet - the loose stuff that overlies the solid rock. On Earth, soil is part of the regolith, so lunar regolith is consequently often called soil.. The lunar regolith.",0.995392690065308,104425,"Lunar Eclipses (the darkening of a full moon by the shadow of the Earth) occur every 6 months, and total lunar eclipses normally come in sets of three, followed by three partial eclipses. The lunar eclipse of June 26, 2010 is a partial eclipse visible mainly in Australia.",0.3853250645111162,0.6100676255541917,1
1043064,what is the chemical formula for oxygen tetrafluoride?,7197436,"Quick Answer. N2F4 is the chemical formula for the chemical compound tetrafluorohydrazine or dinitrogen tetrafluoride. It is a colorless inorganic gas that is extremely hazardous. It is produced from nitrogen trifluoride, an inorganic gas that is toxic, colorless and nonflammable, using iron or iron(II) fluoride.",0.9898616473023168,2403731,"A: The chemical formula for silicon dioxide, also called silica, is SiO2. Silicon and oxygen are two of the most abundant elements in the Earth's crust, with ... Full Answer > Filed Under: Atoms & Molecules.",0.3871548168669038,0.6027068304354128,1
1057270,who were marilyn monroe's friends,7847045,"The first part, that she dated 'most of the Rat pack', is untrue. She briefly dated Frank Sinatra, and in the late 1940s allegedly went on a single date with Peter Lawford. As for Dean Martin, he and Marilyn were good friends....and Marilyn was good friends with his wife Jeanne, who he married in 1949.",0.9999560871637466,148902,"Playboy honors Marilyn Monroe with nude photo special spanning her career. Marilyn Monroe is back where she belongs - in the latest issue of Playboy magazine, which features a cover feature honoring its most famous Playmate 50 years after her death.",0.4080062157484367,0.5919498714153099,1
1060391,what is barbra streisand net worth,7168612,"Barbra Streisand Net Worth is $340 Million. Barbra Streisand Net Worth is $340 Million. Singer, songwriter, actress and filmmaker Barbra Streisand was born and raised in Brooklyn, New York and has an estimated net worth of $340 million. Her career began in her teens when she sang at nightclubs. Barbra Joan Streisand (/'str...",0.9921814371438314,1791246,"Daphne Blunt: Salary, and Net Worth The total net worth of Blunt is still growing and will reach to memorable heights when it will be counted in millions. Currently, there is no stable data about her net worth and salary.",0.4226068901339616,0.5695745470098699,1
1064529,what is adipocere,7163878,"adipocere ad·i·po·cere (ād'ə-pō-sēr') n. A brown, fatty, waxlike substance that forms on dead animal tissue in response to moisture. Also called lipocere.",0.9647742815031152,7163882,"This is exemplified by adipocere, and also by Irish bog butter, which consist chiefly of free fatty acids. How would you define adipocere? Add your definition here.",0.6275228699169195,0.3372514115861956,1
1072479,what is a gui|,7156499,"The graphical user interface (GUI /ɡuːiː/), is a type of user interface that allows users to interact with electronic devices through graphical icons and visual indicators such as secondary notation, instead of text-based user interfaces, typed command labels or text navigation.",0.9933929579462192,272432,"The below are open source tools and mostly available on GNU/Linux, and can run on other platforms too: 1  GeoGebra - open source software for dynamic geometry, algebra and calculus for middle/high school and college. Exports interactive web pages.  Kig[1] A GUI based geometry editor.",0.3393843255640391,0.6540086323821801,1
1087904,what age do moles appear,7097707,"Most people do not develop new regular moles after the age of 30. Adults often develop non-mole growths like freckles, lentigines, “liver spots”, and seborrheic keratosis in later adulthood. New moles appearing after age 30 may require close observation, medical evaluation, and possible biopsy. A brand new mole in an adult may be a sign of an evolving abnormal mole or early melanoma. It is important to have any new or changing mole evaluated by your dermatologist.",0.9445335893012236,4748373,"Birthmarks & Hemangiomas. Dark-Pigmented Birthmarks (Nevi or Moles) Nevi, or moles, are either congenital (present at birth) or acquired. Composed of so-called nevus cells, these spots are often dark brown or black. Congenital Nevi.",0.6712035139429533,0.2733300753582702,1
