qid,query,pid_i,passage_i,score_i,pid_j,passage_j,score_j,g_score,correct_pref
1001108,where the chromosomes are moving towards the poles of the cell,7870036,"Now, during anaphase, the two sister chromatids of each chromosome are pulled apart by the spindle and dragged by their kinetochores toward opposite poles of the cell (i.e., toward the opposite centrosomes). The movement results from a shortening of the spindle microtubules. Each chromosome is pulled along by its centromere. Formally, this phase begins when the duplicated centromeres of each pair of sister chromatids separates, and the resulting daughter chromosomes begin moving toward the poles.",7.974940776824951,302808,"Humans have 46 chromosomes in each cell. During fertilization of the egg, the sperm nucleus containing 23 chromosomes from the paternal side fuses with the nucleus of the egg that contains 23 chromosomes from the maternal side. The result is the zygote that contains 46 chromosomes (23 pairs of chromosomes; one of each pair from either parent). From that single celled zygote comes all the cells of your body today that is formed as a result of uncountable number of cell divisions.",-7.032745361328125,15.007686138153076,1
1009183,what's the difference between c++ and java,7249212,"The most important difference is that Java is a memory-safe language, whereas C++ is not. This means that errors in Java programs are detected in defined ways—for example, attempting a bad cast or indexing an array out of bounds results in an exception.",10.335533142089844,6234872,"An annotation, in the Java computer programming language, is a form of syntactic metadata that can be added to Java source code. Classes, methods, variables, parameters and packages may be annotated.nlike Javadoc tags, Java annotations can be reflective in that they can be embedded in class files generated by the compiler and may be retained by the Java VM to be made retrievable at run-time. It is possible to create meta-annotations out of the existing ones in Java.",-5.490789413452148,15.826322555541992,1
1009742,what's a pollinator,7248275,"A pollinator is different from a pollenizer, a plant that is a source of pollen for the pollination process.",8.497559547424316,1693626,"You must grow two hazelnut trees with strong genetic differences, one as a pollinator and the other as a producer to get a nut crop. These trees need to be within about 65 feet of each other for cross pollination to take place.ou must grow two hazelnut trees with strong genetic differences, one as a pollinator and the other as a producer to get a nut crop. These trees need to be within about 65 feet of each other for cross pollination to take place.",-4.45719051361084,12.954750061035156,1
1010700,which hotel did jfk propose to jackie,7908507,"Decades later, Ho Chi Minh worked as a baker in the basement kitchen, likely churning out the hotel's deservedly famous, eponymous Parker House rolls. JFK proposed to Jackie at a table at Parker's Restaurant, where Malcolm X once worked as a busboy.",8.238566398620605,1929965,"Squire, said he, when Dance has had his ale he must, of course, be off on his Majesty's service; but I mean to keep Jim Hawkins here to sleep at my house, and with your permission, I propose we should have up the cold pie and let him sup.",-11.198097229003906,19.43666362762451,1
1012865,what was enoch brown school massacre?,7242969,"Enoch Brown school massacre topic. 1885 memorial The Enoch Brown school massacre was one of the most notorious incidents of Pontiac's War . On July 26, 1764, four Delaware (Lenape) American Indians entered a settlers' log schoolhouse in the Province of Pennsylvania in what is now Franklin County , near the present-day city of Greencastle .",9.290487289428713,4597623,And another surprise at the site of the massacre. A monument to the four federal officers killed in the initial invasion of the Branch-Davidian Compound. The remaining foundation of the former Branch-Davidian Compound has many messages written on it.,-8.749589920043945,18.040077209472656,1
1020244,what skills i need for marine biology,7233356,"Marine biologist must also be familiar with various research boats and ships, and may need scuba diving skills and underwater camera and video skills. Marine biologists also frequently require robotic skills, such as for using Remotely Operated Vehicles, or ROVs, which are used in place of manned submersibles.",9.629873275756836,7263764,"Marine definition, of or relating to the sea; existing in or produced by the sea: marine vegetation. See more.",-9.341419219970703,18.97129249572754,1
1022762,which vitamins are important,6046885,"There are a few types of these nutrients, and they're all good for your body. But three of them -- vitamins B6, B12, and folic acid -- are especially important. Vitamin B6 is also known as pyridoxine. You need it to keep your brain working well and to help your body change food into energy, which is called metabolism.",8.969320297241211,4016587,"Two types of vitamins are essential for proper bodily function: fat-soluble and water-soluble vitamins. Fat-soluble vitamins include vitamins A, D, E and K, and the digestion of these vitamins is enhanced in the presence of fat. Fat-soluble vitamins are stored within your liver, intestines and fatty tissues of the body.",4.5890727043151855,4.380247592926025,1
1022769,what percentage of americans are either overweight or obese? quizlet,7229482,"Today, about 75 percent of US men and 67 percent of US women are either overweight or obese. This has risen significantly from figures gathered between 1988 and 1994, when just 63 percent of men and 55 percent of US women were overweight or obese. 2. Fewer Than One-Third of Americans Are at a Healthy Weight The NHANES data revealed that about 35 percent of men and 37 percent of women are obese, while another 40 percent of men and 30 percent of women are overweight. This means less than one-third of US adults are at a healthy weight. Lin Yang, a postdoctoral research associate at Washington University School of Medicine in St. Louis, told Medicine Net: 3 Obesity is not getting better. It's getting worse, and it's really scary. It's not looking pretty…",8.993680953979492,4831112,"Approximately 9 million U.S. children and teens, aged 6-19 years, are now overweight. Obesity is the number two cause of preventable death in the United States. Being overweight or obese not only decreases your quality of life, but also increases your risk of developing many chronic health conditions.",3.2104406356811523,5.78324031829834,1
1024904,what medications are prescribed for vasculitis,7226370,"Vasculitis cannot be cured, but treatment can help to reduce symptoms and minimize the develoment of serious complications, such as meningitis, blindness and aneurysm of the lungs. Treatment may include the use of medications, such as interferon alfa, to control the immune response and inflammation.",7.399909973144531,3154741,"Aim of this leaflet. This leaflet is for anyone who wants to find out about the medications used to help stabilise unhelpful mood swings and to control mania in bipolar disorder. It discusses how they work, why they are prescribed, their effects, side-effects and some alternatives.",-9.466781616210938,16.86669158935547,1
102627,cost of attending kennesaw state university,7875009,"The overall cost for on-campus, in-state students to attend Kennesaw State University in 2014-2015 was $24,630. To calculate future costs, we looked at the prior five years of data and determined that this cost increased an average of 5.6% each year.",10.719772338867188,7554353,"How much is tuition at American InterContinental University-Houston? Tuition and fees at American InterContinental University-Houston are $14,634 USD without financial aid. With room, board, and other fees combined, total cost of attendance is $15,992 USD. Cost & Aid. Relatively expensive tuition ($14,634 USD, same for in-state and out-of-state students)",-3.7374634742736816,14.45723581314087,1
1029772,what is the zip code in arrowhead lakes,7218572,"An extended ZIP+4 code, introduced in the 1980s, includes the five digits of the Lake Arrowhead ZIP code, a hyphen, and four more digits that determine a more specific location within a given ZIP code in Lake Arrowhead, California. The Lake Arrowhead Zip Code is 92352. If you want to send a mail to Lake Arrowhead City, you should use the 92352 Zip Code. In 1983, the U.S. Postal Service introduced an expanded Lake Arrowhead ZIP code system that it called ZIP+4, often called plus-four codes, add-on codes, or add ons.",10.057658195495604,7221946,"Elma Zip Code - Iowa. The US ZIP Code basic format consists of five decimal numerical digits assigned to the Elma City. An extended ZIP+4 code, introduced in the 1980s, includes the five digits of the Elma ZIP code, a hyphen, and four more digits that determine a more specific location within a given ZIP code in Elma, Iowa. The Elma Zip Code is 50628.",-6.289080619812012,16.346738815307617,1
1034587,cures that work for mites on dogs homemade,7210738,"Bathing a dog that has skin mites in soapy water is an effective home remedy. The alkaline nature of the soap kills skin mites and can prevent them from spreading. Yellow dock, aloe vera or calendula tea can also be used to treat skin mites. Using teas that have these herbs kills skin mites on dogs and helps heal rashes.",5.1433916091918945,6658774,"Dogs and Ear Infections. Ear infections are a common canine health problem, and they can be caused by allergies, yeast, ear mites, bacteria, hair growth deep in the ear canal, and more. Symptoms your dog may have with an ear infection include:1  Head shaking or head tilting. 2  Ear odor.ogs and Ear Infections. Ear infections are a common canine health problem, and they can be caused by allergies, yeast, ear mites, bacteria, hair growth deep in the ear canal, and more. Symptoms your dog may have with an ear infection include:",-7.151556015014648,12.294947624206545,1
1037250,what is the lunar regolith quizlet,7206078,"Lunar Regolith Breccias and Fragmental Breccias. Regolith is the name for the layer of unconsolidated material at the surface of a planet - the loose stuff that overlies the solid rock. On Earth, soil is part of the regolith, so lunar regolith is consequently often called soil.. The lunar regolith.",6.2728095054626465,7148279,"Chinese Lunar Calendar. 1  Chinese Lunar Calendar is based on the cycles of the moon, and is constructed in a different fashion than the Western solar calendar. 2  This Chinese New Year symbol often shows the dates of both the Gregorian (Western) calendar and the Chinese Lunar Calendar.",-8.703899383544922,14.976708889007568,1
1041951,what is the cytokine,7198934,"Cytokine function / Function of cytokine Cytokines are a large group of proteins, peptides or glycoproteins that are secreted by specific cells of immune system. Cytokines are a category of signaling molecules that mediate and regulate immunity, inflammation and hematopoiesis. Cytokines are produced throughout the body by cells of diverse embryological origin. Cytokine is a general name; other names are defined based on their presumed function, cell of secretion, or target of action.",9.252381324768066,525176,"Determining the exact function of a particular cytokine is complicated by the influence of the producing cell type, the responding cell type and the phase of the immune response. ILs can also have pro-and anti-inflammatory effects, further complicating their characterisation.",1.1363472938537598,8.116034030914307,1
1042978,what is the clearinghouse,7197542,"Definition of clearinghouse. 1  1 : an establishment maintained by banks for settling mutual claims and accounts. 2  2 : a central agency for the collection, classification, and distribution especially of information; broadly : an informal channel for distributing information or assistance.",10.093658447265623,7253051,"August 1, 1987 McToxics was a national grassroots campaign aimed at getting McDonald's to stop using styrofoam packaging. The campaign began on  August 1, 1987 when Vermonters Organized for Cleanup launched a series of actions to ban the use of foam food packaging in Vermont and was later co-ordinated by the Citizens Clearinghouse on Hazardous Waste (CCHW) .",-5.533344268798828,15.627002716064451,1
